WGTP,NP,RMSP,BDSP,HHT2,BATH,HHT,ACCESS,KIT,R65,R18,FES,R60,TEN,PUMA,ST,
46,1,6,3,5,1,6,3,1,1,0,0,1,2,4110,36,
64,2,5,1,11,1,2,1,1,0,0,5,0,2,4110,36,
82,3,4,2,2,1,1,1,1,2,0,3,2,3,4110,36,
57,3,4,2,2,1,1,1,1,0,0,2,0,2,4110,36,
41,2,5,2,2,1,1,3,1,2,0,4,2,2,4110,36,
59,2,3,2,2,1,1,1,1,0,0,2,0,3,4110,36,
102,0,3,1,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
48,1,2,1,9,1,4,1,1,0,0,0,0,2,4110,36,
50,1,6,3,5,1,6,3,1,1,0,0,1,2,4110,36,
176,1,6,3,5,1,6,3,1,0,0,0,0,1,4110,36,
132,1,3,1,5,1,6,1,1,0,0,0,0,3,4110,36,
141,5,5,3,1,1,1,1,1,0,1,2,0,3,4110,36,
80,3,6,2,12,1,5,1,1,1,0,0,1,1,4110,36,
33,9,6,3,1,1,1,1,1,1,1,1,1,1,4110,36,
173,1,4,2,5,1,6,1,1,0,0,0,0,3,4110,36,
77,2,4,2,2,1,1,1,1,1,0,3,1,3,4110,36,
88,1,2,1,5,1,6,3,2,1,0,0,1,3,4110,36,
98,5,6,2,1,1,1,1,1,0,1,1,0,1,4110,36,
48,2,4,2,11,1,2,1,1,1,0,5,1,3,4110,36,
71,5,6,3,1,1,1,1,1,0,1,2,0,3,4110,36,
95,5,4,3,1,1,1,1,1,0,1,1,0,3,4110,36,
54,2,9,3,2,1,1,1,1,2,0,3,2,2,4110,36,
61,0,4,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
115,3,6,3,4,1,3,1,1,0,0,7,1,1,4110,36,
143,2,3,2,8,1,7,1,1,0,0,0,0,3,4110,36,
46,3,6,3,2,1,1,1,1,0,0,1,0,1,4110,36,
44,2,5,2,4,1,5,1,1,0,0,0,0,1,4110,36,
36,6,6,3,6,1,3,2,1,0,1,8,0,3,4110,36,
197,3,4,2,7,1,3,1,1,0,0,8,0,3,4110,36,
60,5,1,0,1,1,1,1,1,0,1,1,0,3,4110,36,
70,7,7,2,1,1,1,1,1,0,1,2,0,1,4110,36,
45,3,8,4,1,1,1,1,1,0,1,1,0,1,4110,36,
